Model,T,Infer Speed (sps)
NetMambaLite,10,75328.11721218827
NetMambaLite,20,80445.48699629294
NetMambaLite,40,66398.85449922741
NetMambaLite,60,59958.85137082022
NetMambaLite,80,25012.714960056685
NetMambaLite,100,12306.311042600697
NetMambaLite,120,61685.56083472252
NetMambaLite,160,40965.46774410365
Transformer,10,117686.56171961887
Transformer,20,119761.93569817666
Transformer,40,116226.21469233201
Transformer,60,103816.78346983298
Transformer,80,70019.84406119156
Transformer,100,58262.68413793652
Transformer,120,51926.68909238347
Transformer,160,35440.69423410777
1D-CNN,10,183292.96112306294
1D-CNN,20,61170.98858459282
1D-CNN,40,187397.62673403314
1D-CNN,60,177334.95760049872
1D-CNN,80,146469.93163515805
1D-CNN,100,161481.5731797159
1D-CNN,120,158171.00931165056
1D-CNN,160,149942.5298352477
BiLSTM,10,136956.57662701415
BiLSTM,20,106895.9942222038
BiLSTM,40,82616.4260542249
BiLSTM,60,67183.23576305433
BiLSTM,80,54480.731592799995
BiLSTM,100,44089.13348867113
BiLSTM,120,37919.206081338634
BiLSTM,160,29685.24892980623
